230;;0.05;0.78;0.59;0.62;0.09;0.97;0.48;0.48;0.60;1.02;0.41;0.61;0.83;0.86;0.33;0.73;0.48;0.33;0.88;0.31;1.89;2.01;0.34;1.48;2.10;0.29
234;;0.05;0.74;0.55;0.58;0.08;0.91;0.45;0.45;0.57;0.97;0.39;0.58;0.79;0.82;0.32;0.71;0.47;0.32;0.86;0.30;1.86;1.98;0.33;1.43;2.11;0.29
238;;0.05;0.75;0.56;0.58;0.08;0.92;0.46;0.45;0.58;0.98;0.39;0.58;0.80;0.83;0.33;0.72;0.50;0.35;0.92;0.32;2.00;2.10;0.35;0.76;2.24;0.31
242;;0.05;0.75;0.56;0.58;0.08;0.91;0.46;0.45;0.58;0.97;0.39;0.58;0.79;0.86;0.34;0.75;0.54;0.38;1.00;0.35;2.17;2.28;0.38;0.83;2.42;0.33
246;;0.05;0.76;0.57;0.60;0.09;0.95;0.52;0.51;0.65;1.10;0.44;0.66;0.82;0.89;0.35;0.78;0.56;0.39;1.03;0.37;2.30;2.42;0.41;0.88;2.57;0.33
250;;0.05;0.79;0.59;0.63;0.09;0.99;0.54;0.53;0.68;1.18;0.48;0.72;0.89;0.96;0.38;0.84;0.61;0.42;1.12;0.40;2.50;2.62;0.44;0.95;2.79;0.36
254;;0.05;0.75;0.56;0.60;0.08;0.89;0.48;0.48;0.61;1.06;0.43;0.64;0.80;0.87;0.35;0.76;0.52;0.36;0.28;0.34;2.13;2.24;0.38;0.81;2.38;0.31
258;;0.05;0.76;0.57;0.57;0.08;0.85;0.46;0.46;0.57;0.98;0.40;0.60;0.74;0.80;0.32;0.78;0.50;0.35;0.27;0.34;2.08;2.19;0.37;0.79;2.33;0.30
262;;0.05;0.72;0.54;0.54;0.07;0.81;0.44;0.43;0.54;0.54;0.38;0.57;0.71;0.77;0.31;0.75;0.48;0.34;0.26;0.32;2.09;2.19;0.37;0.80;2.33;0.30
266;;0.05;0.81;0.60;0.61;0.08;0.94;0.51;0.49;0.63;0.63;0.45;0.65;0.81;0.87;0.35;0.85;0.55;0.38;0.30;0.38;2.35;2.47;0.42;0.90;2.63;0.34
270;;0.85;0.80;0.58;0.59;0.08;0.91;0.47;0.46;0.58;0.58;0.41;0.61;0.76;0.82;0.33;0.83;0.54;0.37;0.29;0.37;2.30;2.41;0.41;0.88;2.57;0.33
274;;0.82;0.77;0.56;0.57;0.08;0.84;0.44;0.42;0.54;0.54;0.38;0.57;0.70;0.76;0.31;0.77;0.50;0.35;0.27;0.34;2.13;2.24;0.37;0.79;2.33;0.30
278;;0.80;0.06;0.55;0.57;0.08;0.90;0.47;0.42;0.54;0.53;0.38;0.56;0.70;0.76;0.30;0.77;0.48;0.37;0.28;0.36;2.26;2.26;0.37;0.80;2.35;0.30
282;;0.74;0.05;0.58;0.60;0.09;0.95;0.49;0.44;0.64;0.64;0.46;0.68;0.84;0.91;0.36;0.92;0.59;0.41;0.32;0.41;2.54;2.54;0.42;0.90;2.64;0.34
286;;0.77;0.06;0.60;0.63;0.09;0.98;0.51;0.45;0.08;0.68;0.48;0.72;0.89;0.97;0.39;0.98;0.63;0.44;0.34;0.43;2.69;2.69;0.44;0.96;2.67;0.32
290;;0.76;0.05;0.23;0.61;0.09;0.98;0.51;0.44;0.08;0.70;0.50;0.73;0.91;0.99;0.39;1.00;0.64;0.45;0.35;0.44;2.75;2.75;0.45;0.98;2.73;0.33
294;;0.82;0.06;0.25;0.66;0.10;1.05;0.55;0.48;0.08;0.75;0.55;0.82;1.01;1.10;0.45;1.13;0.75;0.52;0.40;0.51;3.19;3.19;0.53;1.14;3.20;0.37
298;;0.83;0.06;0.26;0.65;0.09;1.03;0.54;0.47;0.08;0.73;0.54;0.80;0.99;1.07;0.43;1.10;0.73;0.51;0.39;0.50;3.11;3.11;0.51;1.10;3.12;0.36
302;;0.87;0.06;0.27;0.68;0.10;1.15;0.60;0.52;0.09;0.85;0.63;0.93;1.15;1.25;0.51;1.28;0.85;0.59;0.45;0.58;3.63;3.68;0.61;1.31;3.69;0.43
306;;0.88;0.06;0.27;0.68;0.10;1.16;0.60;0.53;0.09;0.88;0.64;0.95;1.18;1.24;0.50;1.27;0.87;0.61;0.08;0.60;3.73;3.79;0.63;1.35;3.80;0.44
310;;0.87;0.06;0.27;0.68;0.10;1.14;0.60;0.52;0.09;0.87;0.64;0.94;1.17;1.22;0.50;1.21;0.83;0.58;0.45;0.57;3.56;3.61;0.60;1.29;3.47;0.41
314;;0.84;0.06;0.26;0.66;0.09;1.12;0.59;0.51;0.09;0.87;0.64;0.95;1.04;1.09;0.44;1.08;0.74;0.52;0.40;0.51;3.18;3.23;0.54;1.16;3.28;0.38
318;;0.90;0.06;0.28;0.70;0.10;1.21;0.63;0.55;0.10;0.80;0.59;0.95;1.04;1.12;0.45;1.10;0.76;0.53;0.41;0.52;3.25;3.30;0.55;1.19;3.35;0.39
322;;0.85;0.06;0.26;0.66;0.09;1.13;0.59;0.52;0.09;0.76;0.55;0.89;0.96;1.03;0.42;1.04;0.71;0.50;0.38;0.49;3.05;3.10;0.52;1.12;3.15;0.37
326;;0.89;0.60;0.27;0.69;0.10;1.14;0.60;0.52;0.09;0.74;0.55;0.84;0.93;0.99;0.41;1.01;0.69;0.48;0.37;0.48;2.96;3.00;0.50;1.08;3.05;0.36
330;;0.94;0.07;0.29;0.73;0.10;1.20;0.63;0.55;0.10;0.79;0.58;0.89;0.98;1.06;0.42;1.02;0.45;0.49;0.38;0.48;3.01;3.05;0.51;1.10;3.10;0.34
334;;0.91;0.06;0.28;0.71;0.10;1.17;0.61;0.53;0.09;0.76;0.56;0.86;0.95;1.00;0.40;0.97;0.66;0.46;0.36;0.46;2.84;2.89;0.48;1.04;2.94;0.33
338;;0.94;0.07;0.28;0.71;0.10;1.16;0.61;0.53;0.09;0.76;0.56;0.86;0.95;1.02;0.41;0.99;0.68;0.78;0.36;0.47;2.91;2.82;0.47;1.02;2.87;0.29
342;;0.95;0.07;0.31;0.77;0.11;1.27;0.68;0.59;0.10;0.85;0.62;0.96;1.06;1.14;0.41;0.97;0.67;0.46;0.36;0.46;2.86;2.77;0.46;1.00;2.82;0.29
346;;0.98;0.07;0.34;0.72;0.11;1.22;0.64;0.56;0.10;0.80;0.58;0.90;1.00;1.07;0.38;0.91;0.63;0.44;0.34;0.43;2.68;2.60;0.42;0.91;2.55;0.26
350;;0.52;0.07;0.37;0.73;0.11;1.23;0.64;0.56;0.10;0.80;0.59;0.85;0.94;1.02;0.36;0.87;0.60;0.42;0.32;0.41;2.56;2.48;0.42;0.91;2.56;0.25
354;;0.50;0.07;0.35;0.69;0.10;1.17;0.61;0.53;0.09;0.76;0.56;0.81;0.90;0.97;0.35;0.83;0.57;0.43;0.32;0.41;2.57;2.49;0.42;0.91;2.57;0.25
358;;0.50;0.07;0.36;0.72;0.11;1.22;0.64;0.56;0.10;0.80;0.58;0.71;0.94;1.02;0.36;0.87;0.60;0.45;0.34;0.44;2.70;2.75;0.46;0.50;2.83;0.27
362;;0.52;0.08;0.38;0.76;0.11;1.28;0.67;0.58;0.10;0.84;0.61;0.75;0.99;1.07;0.38;0.91;0.63;0.47;0.36;0.46;2.82;2.74;0.46;0.50;2.83;0.27
